,PARAMETER,DATA_REPOSITORY,INCLUDE,PARAMETER_GENERAL
1662453,Oxygen,Columbia Basin Waterhub,2,Oxygen
409,Oxygen Dissolved,Environmental Monitoring System,2,Oxygen
34,pH,Environmental Monitoring System,2,pH
1662015,pH,Columbia Basin Waterhub,2,pH
1988952,pH,CABIN,2,pH
1662438,Phosphate,Columbia Basin Waterhub,1,Phosphate
1661325,Phosphate (as P),Columbia Basin Waterhub,1,Phosphate
1662584,Phosphorus,Columbia Basin Waterhub,2,Phosphorus Total
8,Phosphorus Total,Environmental Monitoring System,2,Phosphorus Total
249,Phosphorus Total Dissolved,Environmental Monitoring System,2,Phosphorus Total Dissolved
1661350,"Phosphorus, dissolved",Columbia Basin Waterhub,2,"Phosphorus, dissolved"
1661399,"Phosphorus, total",Columbia Basin Waterhub,2,Phosphorus Total
1661377,"Phosphorus, Total (as P)",Columbia Basin Waterhub,2,Phosphorus Total
1662756,Potassium,Columbia Basin Waterhub,1,Potassium Total
1988946,Potassium,CABIN,1,Potassium Total
239,Potassium Dissolved,Environmental Monitoring System,1,Potassium Dissolved
62324,Potassium Total,Environmental Monitoring System,1,Potassium Total
1661351,"Potassium, dissolved",Columbia Basin Waterhub,1,Potassium Dissolved
1661400,"Potassium, total",Columbia Basin Waterhub,1,Potassium Total
1661659,"Potassium, Total",Columbia Basin Waterhub,1,Potassium Total
1662762,Selenium,Columbia Basin Waterhub,2,Selenium Total
25,Selenium Dissolved,Environmental Monitoring System,2,Selenium Dissolved
43,Selenium Total,Environmental Monitoring System,2,Selenium Total
1988924,Selenium Total,CABIN,2,Selenium Total
1661352,"Selenium, dissolved",Columbia Basin Waterhub,2,Selenium Dissolved
1661401,"Selenium, total",Columbia Basin Waterhub,2,Selenium Total
1661646,"Selenium, Total",Columbia Basin Waterhub,2,Selenium Total
1662768,Silicon,Columbia Basin Waterhub,1,Silicon Total
1989695,Silicon,CABIN,1,Silicon Total
252,Silicon Dissolved,Environmental Monitoring System,1,Silicon Dissolved
64649,Silicon Total,Environmental Monitoring System,1,Silicon Total
1661353,"Silicon, dissolved",Columbia Basin Waterhub,1,Silicon Dissolved
1661402,"Silicon, total",Columbia Basin Waterhub,1,Silicon Total
1661647,"Silicon, Total",Columbia Basin Waterhub,1,Silicon Total
1662774,Silver,Columbia Basin Waterhub,1,Silver Total
433,Silver Dissolved,Environmental Monitoring System,1,Silver Dissolved
31,Silver Total,Environmental Monitoring System,1,Silver Total
1988948,Silver Total,CABIN,1,Silver Total
1661354,"Silver, dissolved",Columbia Basin Waterhub,1,Silver Dissolved
1661403,"Silver, total",Columbia Basin Waterhub,1,Silver Total
1661648,"Silver, Total",Columbia Basin Waterhub,1,Silver Total
1662780,Sodium,Columbia Basin Waterhub,1,Sodium Total
1988947,Sodium,CABIN,1,Sodium Total
232,Sodium Dissolved,Environmental Monitoring System,1,Sodium Dissolved
62014,Sodium Total,Environmental Monitoring System,1,Sodium Total
1661355,"Sodium, dissolved",Columbia Basin Waterhub,1,Sodium Dissolved
1661404,"Sodium, total",Columbia Basin Waterhub,1,Sodium Total
1661660,"Sodium, Total",Columbia Basin Waterhub,1,Sodium Total
1662601,Solids,Columbia Basin Waterhub,2,Solids Total Suspended
1661574,"Solids, Total Suspended",Columbia Basin Waterhub,2,Solids Total Suspended
1661322,"Solids, Total Suspended ",Columbia Basin Waterhub,2,Solids Total Suspended
10,Specific Conductance,Environmental Monitoring System,1,Specific Conductance
